"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"531",531,"7th Voyage of Sinbad, The",1958,88,650000,6.9,1224,1,0,0,0,0,0,0
"534",534,"8 Mile",2002,110,41000000,6.8,17900,0,0,0,1,0,0,0
"550",550,"8MM",1999,123,40000000,5.9,18541,0,0,0,0,0,0,0
"648",648,"AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,1,0,0,0,0,0,0
"688",688,"Abandon",2002,99,25000000,4.7,2364,0,0,0,1,0,0,0
"762",762,"About Schmidt",2002,125,30000000,7.3,23279,0,0,1,1,0,0,0
"763",763,"About a Boy",2002,101,27000000,7.5,18318,0,0,1,1,0,0,0
"802",802,"Absolute Power",1997,121,50000000,6.4,7995,0,0,0,1,0,0,0
"821",821,"Abyss, The",1989,171,69500000,7.4,21987,1,0,0,1,0,0,0
"855",855,"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,0,0,1,0,0,0,0
"856",856,"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,0,0,1,0,0,0,0
"857",857,"Ace in the Hole",1951,111,1821052,7.9,1097,0,0,0,1,0,0,0
"966",966,"Adaptation.",2002,114,19000000,7.9,25140,0,0,1,1,0,0,0
"969",969,"Addams Family, The",1991,99,38000000,6.4,11549,0,0,1,0,0,0,0
"1058",1058,"Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,0,0,1,0,0,0,0
"1061",1061,"Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,4000000,6.6,4556,0,0,1,0,0,0,0
"1079",1079,"Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,0,0,0,1,0,0,0
"1091",1091,"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,1,0,1,0,0,0,0
"1098",1098,"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,1,0,0,0,0,1,0
"1099",1099,"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,0,1,1,0,0,0,0
"1166",1166,"Affliction",1997,114,6000000,6.9,3679,0,0,0,1,0,0,0
"1220",1220,"After Hours",1985,96,4500000,7.4,5630,0,0,1,0,0,0,0
"1235",1235,"After the Sunset",2004,97,58000000,6,3431,1,0,1,0,0,0,0
"1274",1274,"Age of Innocence, The",1993,139,34000000,7.1,6049,0,0,0,1,0,1,0
"1281",1281,"Agent Cody Banks",2003,102,26000000,5.5,2655,1,0,1,0,0,0,0
"1385",1385,"Air Bud",1997,98,3000000,4.7,1276,0,0,1,1,0,0,0
"1389",1389,"Air Force One",1997,124,85000000,6.3,26156,1,0,0,1,0,0,0
"1401",1401,"Airborne",1993,91,2600000,5.2,1047,0,0,1,0,0,0,0
"1409",1409,"Airplane!",1980,88,3500000,7.8,23369,0,0,1,0,0,0,0
"1410",1410,"Airport",1970,137,10000000,6.4,2918,0,0,0,1,0,0,0
"1412",1412,"Airport 1975",1974,107,3000000,4.9,1385,1,0,0,1,0,0,0
"1491",1491,"Aladdin",1992,90,28000000,7.6,22499,0,1,1,0,0,0,0
"1504",1504,"Alamo, The",1960,192,12000000,6.6,2083,1,0,0,1,0,0,0
"1505",1505,"Alamo, The",2004,137,95000000,5.9,3060,1,0,0,1,0,0,0
"1508",1508,"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,0,0,1,0,0,0,0
"1530",1530,"Albino Alligator",1996,97,5000000,6,2077,0,0,0,1,0,0,0
"1559",1559,"Alexander",2004,175,150000000,5.5,11254,0,0,0,1,0,0,0
"1575",1575,"Alferd Packer: The Musical",1996,97,125000,7,2298,0,0,1,0,0,1,0
"1576",1576,"Alfie",1966,114,800000,7.1,1644,0,0,1,1,0,0,0
"1577",1577,"Alfie",2004,103,60000000,6,3492,0,0,1,1,0,0,0
"1586",1586,"Ali",2001,165,107000000,6.4,9294,0,0,0,1,0,0,0
"1623",1623,"Alice",1990,102,12000000,6.4,1706,0,0,1,1,0,1,0
"1629",1629,"Alice Doesn't Live Here Anymore",1974,112,85000,7.3,2231,0,0,0,1,0,0,0
"1639",1639,"Alice in Wonderland",1951,75,3000000,7.2,4656,0,1,1,0,0,0,0
"1652",1652,"Alien",1979,116,11000000,8.3,63400,0,0,0,0,0,0,0
"1666",1666,"Alien Nation",1988,91,16000000,6,2171,0,0,0,1,0,0,0
"1677",1677,"Alien: Resurrection",1997,116,70000000,6,24358,1,0,0,0,0,0,0
"1679",1679,"Aliens",1986,154,18500000,8.3,63961,1,0,0,0,0,0,0
"1693",1693,"Alive",1993,127,32000000,6.7,5786,1,0,0,1,0,0,0
"1707",1707,"All About the Benjamins",2002,95,14000000,5.4,1250,1,0,1,0,0,0,0
"1748",1748,"All Quiet on the Western Front",1930,147,1200000,8.2,6835,1,0,0,1,0,0,0
"1784",1784,"All the President's Men",1976,138,8500000,8,12724,0,0,0,1,0,0,0
"1785",1785,"All the Pretty Horses",2000,116,45000000,5.6,3133,0,0,0,1,0,0,0
"1789",1789,"All the Real Girls",2003,108,1000000,6.8,1745,0,0,0,1,0,1,0
"1851",1851,"Alligator",1980,89,1000000,5.5,1032,0,0,1,0,0,0,0
"1884",1884,"Almost Famous",2000,162,60000000,8,38648,0,0,1,1,0,0,0
"1903",1903,"Alone in the Dark",2005,96,20000000,2.1,2880,1,0,0,0,0,0,0
"1911",1911,"Along Came Polly",2004,90,42000000,5.8,9785,0,0,1,0,0,1,0
"1912",1912,"Along Came a Spider",2001,104,28000000,6.1,9456,0,0,0,1,0,0,0
"1967",1967,"Always",1989,106,29500000,6.2,4913,0,0,0,1,0,1,0
"1986",1986,"Amadeus",1984,180,18000000,8.3,36955,0,0,0,1,0,0,0
"2098",2098,"America's Sweethearts",2001,102,48000000,5.8,11849,0,0,1,0,0,1,0
"2106",2106,"American Beauty",1999,121,15000000,8.5,109991,0,0,0,1,0,0,0
"2142",2142,"American Gigolo",1980,117,4800000,5.7,2469,0,0,0,1,0,1,0
"2144",2144,"American Graffiti",1973,110,777000,7.6,12758,0,0,1,1,0,0,0
"2149",2149,"American History X",1998,119,10000000,8.4,59677,0,0,0,1,0,0,0
"2172",2172,"American Outlaws",2001,94,35000000,5.5,2878,1,0,1,0,0,0,0
"2178",2178,"American Pie",1999,95,11000000,6.8,41126,0,0,1,0,0,0,0
"2179",2179,"American Pie 2",2001,105,30000000,6.3,22752,0,0,1,0,0,0,0
"2181",2181,"American President, The",1995,114,62000000,6.9,11834,0,0,1,1,0,1,0
"2182",2182,"American Psycho",2000,102,8000000,6.8,21639,0,0,0,1,0,0,0
"2208",2208,"American Wedding",2003,103,55000000,6.3,13590,0,0,1,0,0,0,0
"2209",2209,"American Werewolf in London, An",1981,92,10000000,7.2,8347,0,0,1,0,0,1,0
"2210",2210,"American Werewolf in Paris, An",1997,105,22000000,5,4302,0,0,1,0,0,1,0
"2213",2213,"American in Paris, An",1951,113,2723903,7.4,3736,0,0,0,0,0,1,0
"2252",2252,"Amistad",1997,152,40000000,7,10543,0,0,0,1,0,0,0
"2255",2255,"Amityville Horror, The",2005,90,18000000,5.8,2945,0,0,0,0,0,0,0
"2321",2321,"Amores perros",2000,153,2000000,8.2,15079,0,0,0,1,0,0,0
"2382",2382,"Anaconda",1997,89,45000000,4.1,10510,1,0,0,0,0,0,0
"2383",2383,"Anacondas: The Hunt for the Blood Orchid",2004,97,25000000,4.2,2258,0,0,0,0,0,0,0
"2391",2391,"Analyze This",1999,109,30000000,6.6,24521,0,0,1,0,0,0,0
"2403",2403,"Anastasia",1997,94,53000000,6.5,4896,0,1,0,0,0,0,0
"2429",2429,"Anchorman: The Legend of Ron Burgundy",2004,104,26000000,6.5,11553,0,0,1,0,0,0,0
"2441",2441,"And Now for Something Completely Different",1971,85,100000,7.4,3539,0,0,1,0,0,0,0
"2518",2518,"Angel Eyes",2001,102,38000000,5.6,4829,0,0,0,1,0,1,0
"2520",2520,"Angel Heart",1987,113,17000000,7.1,8335,0,0,0,0,0,0,0
"2557",2557,"Angela's Ashes",1999,145,25000000,6.8,4347,0,0,0,1,0,0,0
"2593",2593,"Anger Management",2003,106,75000000,6,14280,0,0,1,0,0,0,0
"2628",2628,"Animal House",1978,109,3000000,7.5,17609,0,0,1,0,0,0,0
"2637",2637,"Animal, The",2001,84,22000000,4.8,5605,0,0,1,0,0,0,0
"2653",2653,"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,1536,1,1,0,0,0,0,1
"2702",2702,"Anna and the King",1999,148,75000000,6.6,6739,0,0,0,1,0,1,0
"2725",2725,"Annie",1982,126,50000000,5.7,3475,0,0,0,0,0,0,0
"2728",2728,"Annie Hall",1977,93,4000000,8.3,21462,0,0,1,0,0,1,0
"2773",2773,"Another Woman",1988,84,10000000,7.2,1380,0,0,0,1,0,0,0
"2817",2817,"Antitrust",2001,108,30000000,6,7326,0,0,0,1,0,0,0
"2836",2836,"Antwone Fisher",2002,117,12500000,7.4,4472,0,0,0,1,0,0,0
"2838",2838,"Antz",1998,83,60000000,7,16312,0,1,1,0,0,0,0
"2845",2845,"Any Given Sunday",1999,156,62000000,6.4,19531,0,0,0,1,0,0,0
"2861",2861,"Anything Else",2003,108,18000000,6.5,3678,0,0,1,0,0,1,0
"2867",2867,"Anywhere But Here",1999,114,23000000,5.9,4007,0,0,0,1,0,0,0
"2905",2905,"Apartment, The",1960,125,3000000,8.4,11214,0,0,1,1,0,1,0
"2924",2924,"Apocalypse Now",1979,202,31500000,8.5,64785,1,0,0,1,0,0,0
"2927",2927,"Apollo 13",1995,140,62000000,7.5,41098,0,0,0,1,0,0,0
"2931",2931,"Apostle, The",1997,134,5000000,7.2,4231,0,0,0,1,0,0,0
"2988",2988,"Apt Pupil",1998,112,14000000,6.4,6728,0,0,0,1,0,0,0
"3012",3012,"Arachnophobia",1990,103,31000000,6.1,8608,0,0,1,0,0,0,0
"3064",3064,"Are We There Yet?",2005,95,32000000,3.5,1043,0,0,1,0,0,0,0
"3099",3099,"Aristocats, The",1970,78,4000000,6.6,2972,0,1,0,0,0,1,0
"3124",3124,"Arlington Road",1999,117,21500000,7.1,17189,0,0,0,1,0,0,0
"3129",3129,"Armageddon",1998,153,140000000,5.7,45330,1,0,0,0,0,0,0
"3151",3151,"Army of Darkness",1993,96,11000000,7.4,22118,1,0,1,0,0,0,0
"3162",3162,"Around the World in 80 Days",2004,120,110000000,5.7,3887,1,0,1,0,0,1,0
"3163",3163,"Around the World in Eighty Days",1956,175,6000000,6.8,2589,0,0,1,0,0,0,0
"3221",3221,"Arthur",1981,97,7000000,6.6,4595,0,0,1,0,0,1,0
"3231",3231,"Artificial Intelligence: AI",2001,146,90000000,6.8,36623,0,0,0,1,0,0,0
"3257",3257,"As Good as It Gets",1997,139,50000000,7.7,47441,0,0,1,1,0,1,0
"3348",3348,"Assassins",1995,132,50000000,5.7,7354,1,0,0,0,0,0,0
"3358",3358,"Assault on Precinct 13",1976,91,100000,7.3,4093,1,0,0,0,0,0,0
"3359",3359,"Assault on Precinct 13",2005,109,20000000,6.3,2960,1,0,0,1,0,0,0
"3399",3399,"Astronaut's Wife, The",1999,109,34000000,4.8,7253,0,0,0,0,0,0,0
"3414",3414,"At Close Range",1986,111,6500000,6.6,1650,0,0,0,1,0,1,0
"3417",3417,"At First Sight",1999,128,40000000,5.7,3441,0,0,0,1,0,0,0
"3455",3455,"Atlantic City",1980,104,7200000,7.5,2384,0,0,0,1,0,1,0
"3466",3466,"Atlantis: The Lost Empire",2001,95,90000000,6.4,6323,1,1,0,0,0,0,0
"3613",3613,"Austin Powers in Goldmember",2002,94,63000000,6.2,22870,1,0,1,0,0,0,0
"3614",3614,"Austin Powers: International Man of Mystery",1997,94,17000000,7,33755,1,0,1,0,0,0,0
"3615",3615,"Austin Powers: The Spy Who Shagged Me",1999,95,33000000,6.5,37019,1,0,1,0,0,0,0
"3625",3625,"Auto Focus",2002,105,7000000,6.7,3276,0,0,0,1,0,0,0
"3666",3666,"Autumn in New York",2000,103,40000000,4.7,3731,0,0,0,1,0,1,0
"3677",3677,"Avalon",2001,106,8000000,6.8,2723,0,1,0,1,0,0,0
"3683",3683,"Avanti!",1972,140,2750000,7.2,1043,0,0,1,1,0,1,0
"3696",3696,"Avengers, The",1998,89,60000000,3.4,11499,1,0,0,0,0,0,0
"3727",3727,"Aviator, The",2004,170,116000000,7.5,16217,0,0,0,1,0,0,0
"3832",3832,"Babe",1995,89,30000000,7.4,16988,0,0,1,1,0,0,0
"3835",3835,"Babe: Pig in the City",1998,97,80000000,6.5,3827,0,0,1,0,0,0,0
"3864",3864,"Baby Boy",2001,130,16000000,6.2,1476,0,0,0,1,0,1,0
"3883",3883,"Baby Geniuses",1999,97,13000000,2.4,3142,0,0,1,0,0,0,0
"3900",3900,"Baby's Day Out",1994,99,50000000,4.4,1856,0,0,1,0,0,0,0
"3927",3927,"Bacheha-Ye aseman",1997,89,180000,7.6,1499,0,0,1,1,0,0,0
"3940",3940,"Bachelor, The",1999,101,21000000,5,4183,0,0,1,0,0,1,0
"3979",3979,"Back to the Future",1985,111,19000000,8.1,68647,1,0,1,0,0,0,0
"3980",3980,"Back to the Future Part II",1989,108,40000000,7,28547,0,0,1,0,0,0,0
"3981",3981,"Back to the Future Part III",1990,118,40000000,6.7,24682,0,0,1,0,0,0,0
"4025",4025,"Bad Boy Bubby",1993,112,750000,7,1033,0,0,1,1,0,0,0
"4027",4027,"Bad Boys",1995,118,23000000,6.4,15326,1,0,1,0,0,0,0
"4028",4028,"Bad Boys II",2003,145,130000000,6.1,13087,1,0,1,0,0,0,0
"4035",4035,"Bad Company",2002,116,70000000,5.4,6175,1,0,1,0,0,0,0
"4077",4077,"Bad Santa",2003,98,18000000,7.2,11189,0,0,1,0,0,0,0
"4078",4078,"Bad Seed, The",1956,129,1000000,7.3,1229,0,0,0,0,0,0,0
"4080",4080,"Bad Taste",1987,86,150000,6.9,7048,0,0,1,0,0,0,0
"4082",4082,"Bad and the Beautiful, The",1952,118,1558000,7.6,1358,0,0,0,1,0,0,0
"4097",4097,"Badlands",1973,94,500000,7.7,4763,0,0,0,1,0,0,0
"4132",4132,"Bait",2000,119,35000000,5.6,1884,1,0,1,0,0,0,0
"4221",4221,"Ballistic: Ecks vs. Sever",2002,91,70000000,3.4,4556,1,0,0,0,0,0,0
"4253",4253,"Bamboozled",2000,135,10000000,6.3,2356,0,0,1,1,0,0,0
"4259",4259,"Bananas",1971,82,2000000,7.1,4252,0,0,1,0,0,0,0
"4270",4270,"Band Wagon, The",1953,111,2169120,7.5,1207,0,0,1,0,0,0,0
"4299",4299,"Bandits",2001,123,80000000,6.7,12382,0,0,1,1,0,1,0
"4316",4316,"Banger Sisters, The",2002,98,10000000,5.6,3189,0,0,1,1,0,0,0
"4377",4377,"Barbarella",1968,98,9000000,5.6,4653,0,0,0,0,0,0,0
"4396",4396,"Barbershop",2002,102,12000000,6.6,4943,0,0,1,1,0,0,0
"4397",4397,"Barbershop 2: Back in Business",2004,106,18000000,5.7,1580,0,0,1,0,0,0,0
"4405",4405,"Barcelona",1994,101,3200000,6.6,1570,0,0,1,1,0,1,0
"4477",4477,"Barry Lyndon",1975,184,11000000,8,12285,0,0,0,1,0,1,0
"4486",4486,"Barton Fink",1991,116,9000000,7.5,10223,0,0,0,1,0,0,0
"4503",4503,"Basic",2003,98,50000000,6.2,8370,0,0,0,1,0,0,0
"4504",4504,"Basic Instinct",1992,128,49000000,6.7,19520,0,0,0,0,0,0,0
"4557",4557,"Batman",1989,126,35000000,7.4,35927,1,0,0,0,0,0,0
"4558",4558,"Batman & Robin",1997,125,110000000,3.6,28457,1,0,0,0,0,0,0
"4559",4559,"Batman Forever",1995,122,100000000,5.4,24025,1,0,0,0,0,1,0
"4560",4560,"Batman Returns",1992,126,80000000,6.5,23010,1,0,0,0,0,1,0
"4566",4566,"Batoru rowaiaru",2000,122,4500000,7.9,12138,1,0,0,1,0,0,0
"4567",4567,"Batoru rowaiaru II: Rekuiemu",2003,155,9000000,4.8,2117,1,0,0,0,0,0,0
"4585",4585,"Battle Beyond the Stars",1980,104,2000000,4.9,1059,0,0,0,0,0,0,0
"4597",4597,"Battle for the Planet of the Apes",1973,96,1800000,4.9,2335,1,0,0,1,0,0,0
"4598",4598,"Battle of Britain",1969,151,12000000,6.7,1728,1,0,0,1,0,0,0
"4619",4619,"Battlefield Earth: A Saga of the Year 3000",2000,119,73000000,2.4,14970,1,0,0,0,0,0,0
"4646",4646,"Be Cool",2005,118,53000000,5.5,4560,0,0,1,0,0,0,0
"4677",4677,"Beach, The",2000,119,50000000,5.8,15020,0,0,0,1,0,0,0
"4683",4683,"Bean",1997,90,22000000,5.4,9018,0,0,1,0,0,0,0
"4741",4741,"Beat the Devil",1953,100,1000000,6.6,1034,0,0,1,1,0,1,0
"4780",4780,"Beautiful Mind, A",2001,135,60000000,7.8,43291,0,0,0,1,0,0,0
"4805",4805,"Beavis and Butt-Head Do America",1996,81,12000000,6.2,9491,0,1,1,0,0,0,0
"4819",4819,"Becket",1964,148,3000000,8,1538,0,0,0,1,0,0,0
"4829",4829,"Bedazzled",2000,93,48000000,5.9,11439,0,0,1,0,0,0,0
"4836",4836,"Bedknobs and Broomsticks",1971,139,20000000,6.5,2614,0,1,0,0,0,0,0
"4878",4878,"Beetle Juice",1988,92,15000000,7.1,20966,0,0,1,0,0,0,0
"4884",4884,"Before Sunrise",1995,105,2500000,7.8,9618,0,0,0,1,0,1,0
"4885",4885,"Before Sunset",2004,80,10000000,8.3,8789,0,0,0,1,0,1,0
"4913",4913,"Behind Enemy Lines",2001,106,40000000,6.1,10856,1,0,0,1,0,0,0
"4953",4953,"Being John Malkovich",1999,113,13000000,7.9,55079,0,0,1,1,0,0,0
"4954",4954,"Being Julia",2004,104,18000000,7.2,1671,0,0,1,1,0,0,0
"5052",5052,"Belly",1998,96,10000000,4.5,1034,0,0,0,1,0,0,0
"5061",5061,"Beloved",1998,172,53000000,5.6,1934,0,0,0,1,0,0,0
"5099",5099,"Ben-Hur",1959,214,15000000,8.1,21031,1,0,0,1,0,1,0
"5108",5108,"Beneath the Planet of the Apes",1970,95,3000000,5.8,3568,1,0,0,1,0,0,0
"5133",5133,"Beowulf",1999,99,20000000,3.7,2058,1,0,0,0,0,0,0
"5212",5212,"Best Laid Plans",1999,92,7000000,6.3,1795,0,0,0,1,0,0,0
"5226",5226,"Best Years of Our Lives, The",1946,172,2100000,8.4,6138,0,0,0,1,0,1,0
"5227",5227,"Best in Show",2000,90,6000000,7.5,11790,0,0,1,0,0,0,0
"5270",5270,"Better Luck Tomorrow",2002,98,250000,7.3,2697,0,0,0,1,0,0,0
"5335",5335,"Beverly Hills Cop",1984,105,15000000,7.1,16360,1,0,1,0,0,0,0
"5336",5336,"Beverly Hills Cop II",1987,100,20000000,5.8,10446,1,0,1,0,0,0,0
"5337",5337,"Beverly Hills Cop III",1994,104,50000000,4.7,6519,1,0,1,0,0,0,0
"5358",5358,"Beyond Borders",2003,127,35000000,5.4,1905,0,0,0,1,0,1,0
"5371",5371,"Beyond Rangoon",1995,100,23000000,6.4,1285,0,0,0,1,0,0,0
"5394",5394,"Beyond the Mat",1999,108,500000,7.3,2243,0,0,0,0,1,0,0
"5404",5404,"Beyond the Sea",2004,118,24000000,6.7,1051,0,0,0,1,0,0,0
"5406",5406,"Beyond the Valley of the Dolls",1970,111,900000,5.4,1575,0,0,1,1,0,0,0
"5447",5447,"Bicentennial Man",1999,132,100000000,6.2,8925,0,0,0,1,0,1,0
"5470",5470,"Big",1988,104,18000000,7.2,18660,0,0,1,0,0,0,0
"5488",5488,"Big Bounce, The",2004,88,50000000,4.7,2505,0,0,1,0,0,0,0
"5522",5522,"Big Daddy",1999,93,34200000,5.9,18258,0,0,1,0,0,0,0
"5532",5532,"Big Fat Liar",2002,88,15000000,5.5,2453,0,0,1,0,0,0,0
"5535",5535,"Big Fish",2003,125,70000000,8.1,31525,0,0,1,1,0,0,0
"5552",5552,"Big Hit, The",1998,91,13000000,5.7,6206,1,0,1,0,0,0,0
"5567",5567,"Big Lebowski, The",1998,117,15000000,8,50179,0,0,1,0,0,0,0
"5573",5573,"Big Momma's House",2000,98,30000000,4.7,7509,0,0,1,0,0,0,0
"5586",5586,"Big Picture, The",1989,100,5000000,6.4,1124,0,0,1,1,0,1,0
"5639",5639,"Big Trouble",2002,85,40000000,6.4,4088,0,0,1,0,0,0,0
"5640",5640,"Big Trouble in Little China",1986,99,25000000,6.7,10803,1,0,1,0,0,0,0
"5691",5691,"Bill & Ted's Bogus Journey",1991,93,20000000,5.6,8152,0,0,1,0,0,0,0
"5692",5692,"Bill & Ted's Excellent Adventure",1989,90,10000000,6.6,12277,0,0,1,0,0,0,0
"5717",5717,"Billy Elliot",2000,110,5000000,7.7,16725,0,0,0,1,0,0,0
"5784",5784,"Bird",1988,161,9000000,7.1,1243,0,0,0,1,0,0,0
"5805",5805,"Birds, The",1963,119,2500000,7.8,20072,0,0,0,1,0,0,0
"5810",5810,"Birth",2004,100,20000000,6,2600,0,0,0,1,0,1,0
"5812",5812,"Birth of a Nation, The",1915,125,110000,7.1,2617,0,0,0,1,0,0,0
"5818",5818,"Birthday Girl",2001,93,13000000,6.1,5340,0,0,1,1,0,1,0
"5905",5905,"Black Cauldron, The",1985,80,44000000,6.2,1895,0,1,0,0,0,0,0
"5940",5940,"Black Hawk Down",2001,142,90000000,7.6,32530,1,0,0,1,0,0,0
"5943",5943,"Black Hole, The",1979,98,18500000,5.4,3425,0,0,0,0,0,0,0
"5957",5957,"Black Knight",2001,95,50000000,4.1,3822,0,0,1,0,0,0,0
"5991",5991,"Black Rain",1989,125,14000000,6.3,5636,1,0,0,1,0,0,0
"6022",6022,"Black Stallion, The",1979,118,2700000,7,1822,0,0,0,0,0,0,0
"6045",6045,"Black and White",1999,98,10000000,5.2,1699,0,0,0,1,0,0,0
"6086",6086,"Blade",1998,110,45000000,6.8,24372,1,0,0,0,0,0,0
"6087",6087,"Blade II",2002,108,55000000,6.6,17139,1,0,0,0,0,0,0
"6088",6088,"Blade Runner",1982,117,28000000,8.2,74749,1,0,0,1,0,0,0
"6090",6090,"Blade: Trinity",2004,124,65000000,5.7,7439,1,0,0,0,0,0,0
"6098",6098,"Blair Witch Project, The",1999,86,35000,6.1,39814,0,0,0,0,0,0,0
"6120",6120,"Blast from the Past",1999,112,35000000,6.4,9483,0,0,1,1,0,1,0
"6140",6140,"Blazing Saddles",1974,93,2600000,7.7,17166,0,0,1,0,0,0,0
"6160",6160,"Bless the Child",2000,107,40000000,5,3814,0,0,0,0,0,0,0
"6206",6206,"Blink",1994,106,11000000,6.1,1517,0,0,0,0,0,0,0
"6225",6225,"Blob, The",1958,82,240000,6,2143,0,0,1,0,0,0,0
"6226",6226,"Blob, The",1988,95,9000000,5.5,2484,0,0,0,0,0,0,0
"6350",6350,"Blood Work",2002,110,50000000,6.3,5965,0,0,0,1,0,0,0
"6357",6357,"Blood and Wine",1996,101,26000000,6,2134,0,0,0,1,0,0,0
"6431",6431,"Bloody Sunday",2002,107,5000000,7.6,2388,0,0,0,1,0,0,0
"6444",6444,"Blow",2001,124,30000000,7.1,18670,0,0,0,1,0,0,0
"6450",6450,"Blow Out",1981,108,18000000,7,3563,0,0,0,0,0,0,0
"6458",6458,"Blowup",1966,111,1800000,7.4,4194,0,0,0,1,0,0,0
"6484",6484,"Blue Crush",2002,104,30000000,5.7,4791,0,0,0,1,0,1,0
"6508",6508,"Blue Lagoon, The",1980,104,4500000,4.7,4324,0,0,0,1,0,1,0
"6532",6532,"Blue Streak",1999,93,36000000,5.8,7952,1,0,1,0,0,0,0
"6537",6537,"Blue Velvet",1986,120,6000000,7.7,18756,0,0,0,1,0,0,0
"6543",6543,"Blue in the Face",1995,83,2000000,6.4,2306,0,0,1,0,0,0,0
"6556",6556,"Blues Brothers 2000",1998,123,28000000,4.5,5267,0,0,1,0,0,0,0
"6557",6557,"Blues Brothers, The",1980,148,27000000,7.7,28964,1,0,1,0,0,0,0
"6580",6580,"Boat Trip",2002,97,20000000,4.5,2991,0,0,1,0,0,0,0
"6639",6639,"Body Double",1984,114,10000000,6.3,3543,0,0,0,1,0,0,0
"6664",6664,"Body of Evidence",1993,102,30000000,4.1,2625,0,0,0,0,0,1,0
"6685",6685,"Bogus",1996,110,32000000,5,1007,0,0,1,1,0,0,0
"6694",6694,"Boiler Room",2000,118,9000000,6.8,8586,0,0,0,1,0,0,0
"6768",6768,"Bon voyage",2003,115,20000000,7.2,1061,0,0,1,1,0,0,0
"6779",6779,"Bone Collector, The",1999,118,48000000,6.2,17766,0,0,0,1,0,0,0
"6786",6786,"Bones",2001,96,16000000,4.2,1418,0,0,0,0,0,0,0
"6790",6790,"Bonfire of the Vanities, The",1990,125,47000000,5,4151,0,0,1,1,0,0,0
"6808",6808,"Bonnie and Clyde",1967,111,2500000,7.9,12653,0,0,0,1,0,1,0
"6831",6831,"Boogeyman",2005,89,20000000,4.1,2055,0,0,0,1,0,0,0
"6837",6837,"Boogie Nights",1997,156,15000000,7.6,27380,0,0,0,1,0,0,0
"6854",6854,"Book of Shadows: Blair Witch 2",2000,90,15000000,4.2,6532,0,0,0,0,0,0,0
